Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time,cluster
0,3.0,4.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,6.0,0,0,0,5,0,49,12,14,13,13,10,68,23.78,20.424,17.221,24.363000000000003,9.168,17.494,22.142,21.487,14.175999999999998,19.217,4
1,4.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,5,3,0,13,0,4,24,21,14,41,11,19,41.646,42.078,36.14,36.107,30.94,34.288000000000004,28.691,41.146,40.856,36.343,3
2,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2,2,0,6,1,5,20,17,12,34,17,30,22.552,13.207,12.486,12.133,15.629,4.105,9.188,18.351,18.479,3.75,3
3,3.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,6.0,6.0,1,0,2,25,0,14,12,14,19,47,12,26,65.04899999999999,27.665,29.696,25.691,26.072,25.671,22.142,30.647,21.86,29.447,6
4,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,4,0,2,16,3,9,17,15,14,41,19,24,51.076,60.136,31.38,74.381,23.492,34.148,32.032,35.81800000000001,29.292,23.788,3
5,3.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,6.0,3.0,0,0,1,38,3,0,12,12,15,62,18,11,43.44300000000001,36.054,30.848000000000006,30.906,46.718,22.736,27.882,28.657,33.407,32.697,3
6,5.0,5.0,7.0,6.0,5.0,7.0,8.0,8.0,6.0,8.0,1,7,42,14,0,1,14,20,46,27,12,11,21.129,24.031,23.7,24.337,20.276,25.419,19.288,20.671,23.761,15.973,4
7,4.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,0,3,5,14,0,5,12,17,24,43,12,22,51.824,41.218,41.017,59.792,41.453,45.132,37.314,35.681,34.083,53.65,3
8,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,0,1,0,28,0,1,12,17,14,63,10,14,26.197,17.474,19.482,11.895,13.669,12.815,13.496,8.305,7.984,8.522,3
9,4.0,5.0,4.0,6.0,4.0,7.0,4.0,6.0,3.0,7.0,30,1,3,4,1,11,54,15,10,14,10,27,22.607,14.122,20.273,20.322,15.509,14.88,11.972,13.322,12.345,11.255999999999998,4
10,3.0,5.0,4.0,0.0,0.0,3.0,3.0,5.0,2.0,2.0,1,3,0,1,2,20,15,17,13,15,19,51,39.333,28.982,15.816,15.786,12.729,18.634,14.474,32.408,18.148,37.073,3
12,1.0,1.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,0,0,1,24,0,1,13,14,17,54,15,17,27.699,30.52,31.137,32.202,43.757,32.609,29.705,28.496,27.813,27.05,3
13,3.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0,0,1,9,0,9,14,12,18,40,10,36,50.912,22.616,26.568,25.392,29.441,17.141,26.935,27.269,21.821,48.842,3
